freq,dbfs,dbspl,rms,min_amp,max_amp,tag
506.9,-49,79.5,0.0015,-0.0034,0.0031,
195.13,-47,80.59,0.0017,-0.0046,0.0044,
460.57,-46,80.06,0.0016,-0.0032,0.0051,
115.14,-44,82.42,0.0021,-0.0062,0.0043,
115.14,-47,80.06,0.0016,-0.0046,0.0046,
170.27,-47,80.59,0.0017,-0.0042,0.0044,
460.57,-46,81.55,0.0019,-0.0047,0.005,
501.14,-49,80.06,0.0016,-0.0029,0.0034,
115.14,-44,82.83,0.0022,-0.0067,0.0048,
230.29,-44,81.55,0.0019,-0.0063,0.0056,
501.14,-48,78.26,0.0013,-0.0028,0.004,
453.08,-47,79.5,0.0015,-0.0046,0.0046,
230.29,-46,80.06,0.0016,-0.0043,0.0047,
230.29,-44,82.0,0.002,-0.0053,0.006,
501.14,-48,80.59,0.0017,-0.0028,0.0038,
115.14,-46,82.0,0.002,-0.0052,0.0046,
506.9,-48,80.06,0.0016,-0.0041,0.003,
135.28,-44,81.55,0.0019,-0.0052,0.006,
608.28,-45,80.59,0.0017,-0.0036,0.0057,
690.86,-47,78.9,0.0014,-0.0045,0.0038,
115.14,-43,82.83,0.0022,-0.0075,0.0048,
115.14,-46,80.59,0.0017,-0.0045,0.0051,
245.68,-46,81.08,0.0018,-0.0047,0.0048,
115.14,-45,81.55,0.0019,-0.0059,0.0044,
115.14,-45,81.55,0.0019,-0.0054,0.0043,
230.29,-48,78.9,0.0014,-0.0041,0.0041,
506.9,-48,80.06,0.0016,-0.0036,0.0041,
115.14,-44,82.42,0.0021,-0.0062,0.0065,
565.38,-45,83.21,0.0023,-0.0039,0.0054,
115.14,-45,82.0,0.002,-0.0056,0.0048,
460.57,-47,80.06,0.0016,-0.0044,0.0044,
115.14,-46,80.59,0.0017,-0.0036,0.0049,
2051.16,-49,77.56,0.0012,-0.0025,0.0034,
1002.27,-48,81.08,0.0018,-0.0039,0.0039,
115.14,-46,81.55,0.0019,-0.0039,0.0052,
1013.79,-47,79.5,0.0015,-0.0044,0.0026,
230.29,-48,80.06,0.0016,-0.004,0.004,
690.86,-45,80.06,0.0016,-0.0059,0.0042,
580.26,-47,82.42,0.0021,-0.0045,0.0037,
345.43,-46,80.59,0.0017,-0.0051,0.0045,
506.9,-46,82.0,0.002,-0.0049,0.004,
115.14,-44,82.42,0.0021,-0.0059,0.006,
2505.68,-50,78.26,0.0013,-0.003,0.0032,
230.29,-46,81.08,0.0018,-0.0049,0.0042,
506.9,-47,80.59,0.0017,-0.0043,0.0033,
115.14,-45,81.55,0.0019,-0.0054,0.0049,
115.14,-45,82.0,0.002,-0.0059,0.0045,
506.9,-49,78.26,0.0013,-0.0037,0.0024,
230.29,-44,82.83,0.0022,-0.0063,0.0048,
501.14,-49,80.59,0.0017,-0.0028,0.0037,
230.29,-44,82.42,0.0021,-0.0059,0.0062,
787.5,-51,78.9,0.0014,-0.0029,0.0026,
345.43,-46,80.59,0.0017,-0.0051,0.0046,
115.14,-45,81.55,0.0019,-0.0057,0.0046,
230.29,-45,82.42,0.0021,-0.0058,0.0051,
506.9,-46,80.06,0.0016,-0.0048,0.0034,
115.14,-44,82.83,0.0022,-0.0061,0.0054,
2505.68,-50,79.5,0.0015,-0.0032,0.0033,
495.51,-50,79.5,0.0015,-0.0032,0.0033,
231.5,-44,82.42,0.0021,-0.0057,0.0065,
115.14,-47,80.06,0.0016,-0.0047,0.0042,
230.29,-46,80.59,0.0017,-0.004,0.0048,
115.14,-44,82.83,0.0022,-0.0061,0.005,
253.45,-47,80.59,0.0017,-0.0045,0.0039,
506.9,-46,82.0,0.002,-0.0026,0.005,
115.14,-46,80.06,0.0016,-0.0045,0.005,
8018.18,-50,78.26,0.0013,-0.0029,0.003,
115.14,-45,81.55,0.0019,-0.0056,0.0053,
140.45,-46,81.55,0.0019,-0.0044,0.0051,
115.14,-46,80.59,0.0017,-0.0049,0.0038,
501.14,-46,80.59,0.0017,-0.0023,0.0051,
460.57,-45,80.59,0.0017,-0.0059,0.0045,
506.9,-49,79.5,0.0015,-0.0031,0.0035,
230.29,-44,81.55,0.0019,-0.006,0.005,
