freq,dbfs,dbspl,rms,min_amp,max_amp,tag
1013.79,-47,79.5,0.0015,-0.0034,0.0043,
115.14,-43,84.61,0.0027,-0.0058,0.0074,
115.14,-43,83.21,0.0023,-0.0049,0.0071,
115.14,-46,81.55,0.0019,-0.005,0.0051,
501.14,-49,78.9,0.0014,-0.0034,0.0034,
575.72,-48,78.9,0.0014,-0.0042,0.0039,
506.9,-48,79.5,0.0015,-0.0027,0.0041,
345.43,-46,80.06,0.0016,-0.0037,0.005,
115.14,-44,83.21,0.0023,-0.0052,0.0066,
501.14,-44,81.08,0.0018,-0.0034,0.0063,
115.14,-44,82.42,0.0021,-0.0049,0.0065,
580.26,-49,80.59,0.0017,-0.0036,0.0037,
230.29,-45,82.0,0.002,-0.0056,0.0047,
506.9,-45,82.42,0.0021,-0.0037,0.0054,
115.14,-44,82.83,0.0022,-0.0064,0.0051,
345.43,-45,82.42,0.0021,-0.0055,0.0053,
501.14,-50,81.08,0.0018,-0.003,0.0032,
115.14,-45,83.94,0.0025,-0.0047,0.0059,
678.46,-47,80.06,0.0016,-0.0031,0.0044,
230.29,-45,83.21,0.0023,-0.0057,0.0054,
1520.69,-46,81.08,0.0018,-0.0043,0.0051,
115.14,-46,81.08,0.0018,-0.0048,0.0051,
1002.27,-46,82.0,0.002,-0.0051,0.0044,
230.29,-46,80.59,0.0017,-0.0047,0.0052,
506.9,-49,79.5,0.0015,-0.0035,0.0022,
115.14,-47,80.59,0.0017,-0.0043,0.0041,
230.29,-44,81.55,0.0019,-0.0061,0.0061,
115.14,-44,81.55,0.0019,-0.0048,0.0064,
501.14,-46,81.08,0.0018,-0.0048,0.0035,
115.14,-45,82.0,0.002,-0.0044,0.0055,
501.14,-49,80.59,0.0017,-0.0036,0.0035,
115.14,-44,82.0,0.002,-0.006,0.0043,
1013.79,-51,78.26,0.0013,-0.0025,0.0029,
115.14,-43,83.21,0.0023,-0.0049,0.0072,
1013.79,-47,80.59,0.0017,-0.0038,0.0045,
126.72,-45,82.0,0.002,-0.005,0.0057,
345.43,-47,80.06,0.0016,-0.0044,0.004,
115.14,-45,82.0,0.002,-0.0054,0.0057,
421.34,-45,81.08,0.0018,-0.0059,0.0046,
230.29,-46,80.59,0.0017,-0.005,0.0042,
115.14,-44,81.08,0.0018,-0.0065,0.0047,
115.14,-44,81.55,0.0019,-0.0054,0.0067,
1002.27,-49,79.5,0.0015,-0.0036,0.0033,
233.33,-46,80.59,0.0017,-0.0032,0.0048,
313.88,-46,81.08,0.0018,-0.0045,0.005,
230.29,-47,80.06,0.0016,-0.0041,0.0046,
1013.79,-50,78.26,0.0013,-0.003,0.0029,
115.14,-45,81.08,0.0018,-0.0058,0.0043,
115.14,-44,82.83,0.0022,-0.0056,0.0065,
115.14,-44,82.42,0.0021,-0.0048,0.0062,
506.9,-47,81.08,0.0018,-0.0037,0.0046,
